Manpower,Disaster_Group,Disaster_Subgroup,Disaster_Type
52,Natural,Hydrological,Landslide
40,Natural,Hydrological,Flood
22,Natural,Hydrological,Flood
81,Natural,Hydrological,Flood
68,Natural,Geophysical,Earthquake
2,Natural,Hydrological,Flood
4,Natural,Geophysical,Earthquake
43,Natural,Meteorological,Storm
56,Natural,Meteorological,Storm
64,Natural,Meteorological,Storm
76,Natural,Meteorological,Storm
77,Natural,Meteorological,Storm
78,Natural,Meteorological,Storm
79,Natural,Meteorological,Storm
80,Natural,Meteorological,Storm
123,Natural,Hydrological,Flood
29,Natural,Hydrological,Flood
19,Natural,Geophysical,Earthquake
30,Natural,Meteorological,Storm
39,Natural,Meteorological,Storm
45,Natural,Climatological,Wildfire
37,Natural,Hydrological,Flood
52,Natural,Hydrological,Flood
116,Natural,Hydrological,Flood
14,Natural,Geophysical,Earthquake
47,Natural,Meteorological,Storm
9004,Natural,Climatological,Drought
43,Natural,Meteorological,Storm
128,Natural,Meteorological,Storm
48,Natural,Hydrological,Flood
9005,Natural,Climatological,Drought
38,Natural,Meteorological,Storm
11,Natural,Hydrological,Flood
13,Natural,Geophysical,Volcanic activity
51,Natural,Meteorological,Storm
20,Natural,Hydrological,Landslide
12,Natural,Hydrological,Flood
26,Natural,Meteorological,Storm
36,Natural,Meteorological,Storm
54,Natural,Meteorological,Storm
55,Natural,Meteorological,Storm
22,Natural,Hydrological,Landslide
7,Natural,Hydrological,Flood
8,Natural,Geophysical,Volcanic activity
28,Natural,Biological,Epidemic
9006,Natural,Climatological,Drought
30,Natural,Geophysical,Earthquake
34,Natural,Geophysical,Earthquake
16,Natural,Geophysical,Earthquake
9116,Natural,Climatological,Drought
58,Natural,Meteorological,Storm
21,Natural,Meteorological,Storm
27,Natural,Geophysical,Earthquake
84,Natural,Geophysical,Earthquake
43,Natural,Hydrological,Landslide
53,Natural,Meteorological,Storm
147,Natural,Hydrological,Flood
56,Natural,Meteorological,Storm
49,Natural,Hydrological,Flood
52,Natural,Hydrological,Flood
22,Natural,Meteorological,Storm
31,Natural,Hydrological,Flood
23,Natural,Meteorological,Storm
36,Natural,Meteorological,Storm
67,Natural,Geophysical,Earthquake
141,Natural,Meteorological,Storm
47,Natural,Hydrological,Landslide
9075,Natural,Climatological,Drought
132,Natural,Geophysical,Earthquake
39,Natural,Hydrological,Flood
24,Natural,Geophysical,Earthquake
15,Natural,Meteorological,Storm
40,Natural,Meteorological,Storm
64,Natural,Meteorological,Storm
42,Natural,Hydrological,Flood
30,Natural,Meteorological,Storm
20,Natural,Meteorological,Storm
57,Natural,Meteorological,Storm
11,Natural,Hydrological,Landslide
35,Natural,Meteorological,Storm
136,Natural,Meteorological,Storm
45,Natural,Meteorological,Extreme temperature 
9005,Natural,Climatological,Drought
12,Natural,Geophysical,Volcanic activity
1,Natural,Meteorological,Storm
32,Natural,Meteorological,Storm
41,Natural,Meteorological,Storm
45,Natural,Meteorological,Storm
135,Natural,Meteorological,Storm
14,Natural,Geophysical,Earthquake
35,Natural,Geophysical,Earthquake
31,Natural,Hydrological,Flood
34,Natural,Hydrological,Flood
33,Natural,Hydrological,Flood
48,Natural,Hydrological,Flood
25,Natural,Hydrological,Landslide
17,Natural,Geophysical,Earthquake
42,Natural,Meteorological,Storm
44,Natural,Meteorological,Storm
49,Natural,Meteorological,Storm
83,Natural,Hydrological,Flood
11,Natural,Meteorological,Storm
80,Natural,Meteorological,Storm
18,Natural,Hydrological,Flood
50,Natural,Hydrological,Flood
36,Natural,Meteorological,Extreme temperature 
26,Natural,Geophysical,Earthquake
63,Natural,Geophysical,Earthquake
50,Natural,Geophysical,Earthquake
128,Natural,Hydrological,Flood
129,Natural,Hydrological,Flood
60,Natural,Hydrological,Landslide
21,Natural,Hydrological,Landslide
35,Natural,Meteorological,Storm
162,Natural,Meteorological,Storm
37,Natural,Meteorological,Storm
158,Natural,Hydrological,Landslide
18,Natural,Biological,Epidemic
30,Natural,Meteorological,Storm
40,Natural,Hydrological,Flood
41,Natural,Hydrological,Flood
22,Natural,Hydrological,Landslide
29,Natural,Meteorological,Storm
38,Natural,Meteorological,Storm
51,Natural,Meteorological,Storm
52,Natural,Meteorological,Storm
54,Natural,Meteorological,Storm
56,Natural,Meteorological,Storm
58,Natural,Meteorological,Storm
39,Natural,Hydrological,Flood
79,Natural,Hydrological,Flood
28,Natural,Hydrological,Flood
36,Natural,Hydrological,Landslide
14,Natural,Hydrological,Flood
44,Natural,Meteorological,Storm
57,Natural,Hydrological,Flood
23,Natural,Hydrological,Flood
19,Natural,Meteorological,Storm
37,Natural,Hydrological,Flood
45,Natural,Meteorological,Storm
52,Natural,Meteorological,Storm
56,Natural,Meteorological,Storm
30,Natural,Meteorological,Storm
25,Natural,Hydrological,Landslide
140,Natural,Hydrological,Landslide
49,Natural,Meteorological,Storm
8,Natural,Hydrological,Flood
29,Natural,Hydrological,Flood
13,Natural,Meteorological,Storm
57,Natural,Meteorological,Storm
139,Natural,Meteorological,Storm
16,Natural,Hydrological,Flood
67,Natural,Hydrological,Flood
18,Natural,Meteorological,Storm
22,Natural,Meteorological,Storm
44,Natural,Hydrological,Landslide
33,Natural,Meteorological,Extreme temperature 
77,Natural,Meteorological,Storm
80,Natural,Hydrological,Flood
81,Natural,Biological,Insect infestation
142,Natural,Meteorological,Storm
35,Natural,Hydrological,Flood
51,Natural,Hydrological,Flood
43,Natural,Geophysical,Earthquake
34,Natural,Meteorological,Storm
12,Natural,Hydrological,Flood
53,Natural,Geophysical,Earthquake
55,Natural,Meteorological,Storm
54,Natural,Geophysical,Earthquake
9196,Natural,Climatological,Drought
72,Natural,Geophysical,Earthquake
20,Natural,Geophysical,Earthquake
37,Natural,Geophysical,Earthquake
195,Natural,Geophysical,Earthquake
62,Natural,Meteorological,Storm
45,Natural,Hydrological,Flood
53,Natural,Hydrological,Landslide
19,Natural,Meteorological,Storm
66,Natural,Meteorological,Storm
48,Natural,Meteorological,Storm
9152,Natural,Climatological,Drought
156,Natural,Hydrological,Flood
9152,Natural,Climatological,Drought
22,Natural,Meteorological,Storm
44,Natural,Hydrological,Flood
175,Natural,Meteorological,Storm
40,Natural,Hydrological,Landslide
21,Natural,Geophysical,Earthquake
108,Natural,Hydrological,Flood
52,Natural,Hydrological,Flood
61,Natural,Geophysical,Volcanic activity
91,Natural,Hydrological,Flood
95,Natural,Hydrological,Flood
38,Natural,Meteorological,Storm
86,Natural,Meteorological,Storm
89,Natural,Meteorological,Storm
60,Natural,Biological,Epidemic
9152,Natural,Climatological,Drought
39,Natural,Geophysical,Earthquake
176,Natural,Meteorological,Storm
29,Natural,Geophysical,Earthquake
56,Natural,Geophysical,Earthquake
75,Natural,Geophysical,Earthquake
170,Natural,Hydrological,Landslide
180,Natural,Hydrological,Landslide
59,Natural,Geophysical,Earthquake
121,Natural,Hydrological,Flood
51,Natural,Geophysical,Earthquake
57,Natural,Geophysical,Earthquake
71,Natural,Geophysical,Earthquake
140,Natural,Geophysical,Earthquake
142,Natural,Geophysical,Earthquake
63,Natural,Hydrological,Flood
122,Natural,Hydrological,Flood
74,Natural,Biological,Epidemic
103,Natural,Geophysical,Volcanic activity
92,Natural,Meteorological,Storm
117,Natural,Meteorological,Storm
75,Natural,Biological,Epidemic
9055,Natural,Climatological,Drought
102,Natural,Hydrological,Flood
64,Natural,Hydrological,Flood
113,Natural,Biological,Epidemic
79,Natural,Hydrological,Flood
104,Natural,Hydrological,Flood
9029,Natural,Climatological,Drought
241,Natural,Hydrological,Landslide
20,Natural,Biological,Epidemic
9021,Natural,Climatological,Drought
16,Natural,Hydrological,Flood
42,Natural,Meteorological,Storm
115,Natural,Meteorological,Storm
111,Natural,Hydrological,Flood
126,Natural,Meteorological,Storm
40,Natural,Hydrological,Flood
65,Natural,Biological,Epidemic
182,Natural,Hydrological,Flood
66,Natural,Meteorological,Storm
230,Natural,Meteorological,Storm
72,Natural,Hydrological,Flood
67,Natural,Biological,Epidemic
135,Natural,Hydrological,Flood
206,Natural,Hydrological,Flood
50,Natural,Geophysical,Earthquake
119,Natural,Meteorological,Storm
134,Natural,Meteorological,Storm
155,Natural,Meteorological,Storm
157,Natural,Meteorological,Storm
114,Natural,Biological,Epidemic
162,Natural,Biological,Epidemic
164,Natural,Biological,Epidemic
86,Natural,Meteorological,Storm
96,Natural,Hydrological,Flood
97,Natural,Hydrological,Flood
161,Natural,Hydrological,Flood
101,Natural,Hydrological,Flood
58,Natural,Geophysical,Volcanic activity
48,Natural,Geophysical,Earthquake
127,Natural,Hydrological,Flood
19,Natural,Biological,Epidemic
68,Natural,Hydrological,Flood
139,Natural,Hydrological,Landslide
80,Natural,Biological,Epidemic
98,Natural,Biological,Epidemic
70,Natural,Meteorological,Storm
123,Natural,Biological,Epidemic
78,Natural,Geophysical,Earthquake
143,Natural,Meteorological,Storm
9024,Natural,Climatological,Drought
52,Natural,Geophysical,Earthquake
99,Natural,Biological,Epidemic
90,Natural,Meteorological,Storm
76,Natural,Hydrological,Flood
112,Natural,Hydrological,Flood
130,Natural,Biological,Epidemic
23,Natural,Biological,Epidemic
9022,Natural,Climatological,Drought
89,Natural,Hydrological,Flood
118,Natural,Hydrological,Flood
31,Natural,Meteorological,Extreme temperature 
27,Natural,Geophysical,Earthquake
85,Natural,Hydrological,Flood
87,Natural,Hydrological,Flood
82,Natural,Meteorological,Storm
57,Natural,Geophysical,Earthquake
80,Natural,Geophysical,Earthquake
31,Natural,Biological,Epidemic
75,Natural,Hydrological,Flood
100,Natural,Meteorological,Storm
76,Natural,Hydrological,Flood
67,Natural,Hydrological,Flood
37,Natural,Biological,Epidemic
39,Natural,Hydrological,Flood
70,Natural,Meteorological,Storm
40,Natural,Hydrological,Flood
46,Natural,Meteorological,Storm
86,Natural,Hydrological,Flood
45,Natural,Hydrological,Flood
66,Natural,Geophysical,Volcanic activity
101,Natural,Geophysical,Volcanic activity
58,Natural,Meteorological,Storm
65,Natural,Biological,Epidemic
102,Natural,Hydrological,Flood
79,Natural,Biological,Epidemic
84,Natural,Hydrological,Flood
18,Natural,Biological,Epidemic
41,Natural,Hydrological,Flood
33,Natural,Meteorological,Storm
59,Natural,Hydrological,Flood
121,Natural,Meteorological,Storm
124,Natural,Meteorological,Storm
56,Natural,Geophysical,Volcanic activity
62,Natural,Biological,Epidemic
29,Natural,Meteorological,Storm
57,Natural,Meteorological,Storm
37,Natural,Hydrological,Flood
16,Natural,Meteorological,Storm
19,Natural,Meteorological,Storm
28,Natural,Meteorological,Storm
126,Natural,Hydrological,Flood
25,Natural,Biological,Epidemic
6,Natural,Meteorological,Storm
20,Natural,Hydrological,Flood
122,Natural,Hydrological,Flood
127,Natural,Meteorological,Storm
47,Natural,Meteorological,Storm
116,Natural,Hydrological,Flood
151,Natural,Meteorological,Storm
32,Natural,Biological,Insect infestation
12,Natural,Hydrological,Flood
31,Natural,Meteorological,Storm
135,Natural,Meteorological,Storm
138,Natural,Meteorological,Storm
21,Natural,Meteorological,Storm
9133,Natural,Climatological,Drought
50,Natural,Hydrological,Flood
61,Natural,Meteorological,Storm
51,Natural,Hydrological,Flood
59,Natural,Biological,Epidemic
233,Natural,Meteorological,Storm
235,Natural,Meteorological,Storm
245,Natural,Hydrological,Flood
208,Natural,Hydrological,Flood
88,Natural,Meteorological,Storm
39,Natural,Meteorological,Storm
9026,Natural,Climatological,Drought
9026,Natural,Climatological,Drought
17,Natural,Hydrological,Flood
37,Natural,Geophysical,Volcanic activity
17,Natural,Hydrological,Flood
78,Natural,Biological,Epidemic
28,Natural,Hydrological,Flood
127,Natural,Meteorological,Storm
9200,Natural,Climatological,Drought
198,Natural,Hydrological,Flood
199,Natural,Hydrological,Flood
204,Natural,Meteorological,Storm
238,Natural,Meteorological,Storm
239,Natural,Meteorological,Storm
240,Natural,Meteorological,Storm
117,Natural,Meteorological,Storm
137,Natural,Hydrological,Flood
9005,Natural,Climatological,Drought
9008,Natural,Climatological,Drought
113,Natural,Geophysical,Earthquake
156,Natural,Biological,Epidemic
121,Natural,Biological,Epidemic
148,Natural,Biological,Insect infestation
218,Natural,Meteorological,Storm
220,Natural,Meteorological,Storm
221,Natural,Meteorological,Storm
206,Natural,Climatological,Wildfire
208,Natural,Climatological,Wildfire
94,Natural,Geophysical,Earthquake
113,Natural,Geophysical,Earthquake
185,Natural,Meteorological,Storm
39,Natural,Geophysical,Earthquake
44,Natural,Hydrological,Flood
243,Natural,Meteorological,Storm
242,Natural,Meteorological,Storm
241,Natural,Climatological,Wildfire
20,Natural,Biological,Epidemic
48,Natural,Meteorological,Storm
78,Natural,Meteorological,Storm
9270,Natural,Climatological,Drought
109,Natural,Hydrological,Flood
9012,Natural,Climatological,Drought
3,Natural,Hydrological,Flood
195,Natural,Hydrological,Flood
247,Natural,Hydrological,Landslide
63,Natural,Geophysical,Earthquake
82,Natural,Geophysical,Earthquake
9004,Natural,Climatological,Drought
106,Natural,Geophysical,Earthquake
99,Natural,Hydrological,Flood
14,Natural,Meteorological,Extreme temperature 
69,Natural,Meteorological,Storm
70,Natural,Meteorological,Storm
42,Natural,Hydrological,Flood
111,Natural,Hydrological,Flood
50,Natural,Meteorological,Storm
91,Natural,Hydrological,Flood
260,Natural,Hydrological,Flood
33,Natural,Meteorological,Storm
259,Natural,Geophysical,Earthquake
128,Natural,Meteorological,Storm
105,Natural,Hydrological,Flood
206,Natural,Hydrological,Landslide
74,Natural,Meteorological,Storm
210,Natural,Meteorological,Storm
201,Natural,Climatological,Wildfire
203,Natural,Climatological,Wildfire
9114,Natural,Climatological,Drought
96,Natural,Geophysical,Earthquake
9114,Natural,Climatological,Drought
9114,Natural,Climatological,Drought
9114,Natural,Climatological,Drought
33,Natural,Hydrological,Flood
35,Natural,Hydrological,Flood
42,Natural,Hydrological,Flood
286,Natural,Meteorological,Storm
287,Natural,Meteorological,Storm
289,Natural,Meteorological,Storm
290,Natural,Meteorological,Storm
288,Natural,Climatological,Wildfire
291,Natural,Meteorological,Storm
233,Natural,Hydrological,Flood
1,Natural,Geophysical,Earthquake
9114,Natural,Climatological,Drought
38,Natural,Meteorological,Storm
73,Natural,Hydrological,Flood
4,Natural,Hydrological,Flood
54,Natural,Meteorological,Storm
8,Natural,Hydrological,Flood
31,Natural,Hydrological,Flood
306,Natural,Meteorological,Storm
211,Natural,Climatological,Wildfire
247,Natural,Hydrological,Flood
69,Natural,Meteorological,Storm
50,Natural,Hydrological,Flood
56,Natural,Hydrological,Flood
331,Natural,Hydrological,Flood
94,Natural,Hydrological,Flood
9114,Natural,Climatological,Drought
107,Natural,Hydrological,Flood
229,Natural,Meteorological,Storm
9005,Natural,Climatological,Drought
230,Natural,Meteorological,Storm
234,Natural,Meteorological,Storm
231,Natural,Meteorological,Storm
81,Natural,Geophysical,Earthquake
9359,Natural,Climatological,Drought
130,Natural,Biological,Epidemic
36,Natural,Meteorological,Storm
237,Natural,Hydrological,Flood
9114,Natural,Climatological,Drought
9114,Natural,Climatological,Drought
239,Natural,Geophysical,Earthquake
305,Natural,Meteorological,Storm
220,Natural,Meteorological,Storm
225,Natural,Meteorological,Storm
214,Natural,Climatological,Wildfire
217,Natural,Climatological,Wildfire
91,Natural,Geophysical,Earthquake
122,Natural,Geophysical,Earthquake
68,Natural,Meteorological,Storm
9309,Natural,Climatological,Drought
9121,Natural,Climatological,Drought
193,Natural,Meteorological,Storm
184,Natural,Hydrological,Flood
9188,Natural,Climatological,Drought
187,Natural,Hydrological,Flood
263,Natural,Hydrological,Flood
212,Natural,Meteorological,Storm
1,Natural,Biological,Epidemic
102,Natural,Biological,Epidemic
42,Natural,Meteorological,Storm
108,Natural,Meteorological,Storm
274,Natural,Meteorological,Storm
213,Natural,Meteorological,Storm
41,Natural,Hydrological,Flood
105,Natural,Hydrological,Flood
9309,Natural,Climatological,Drought
98,Natural,Meteorological,Storm
231,Natural,Meteorological,Storm
26,Natural,Geophysical,Earthquake
80,Natural,Hydrological,Flood
233,Natural,Climatological,Wildfire
66,Natural,Hydrological,Flood
71,Natural,Hydrological,Flood
88,Natural,Hydrological,Flood
89,Natural,Hydrological,Flood
32,Natural,Meteorological,Storm
74,Natural,Hydrological,Flood
43,Natural,Hydrological,Landslide
214,Natural,Meteorological,Storm
215,Natural,Meteorological,Extreme temperature 
9307,Natural,Climatological,Drought
